unit_id,region,capacity_index,baseline_gross_margin,baseline_stockout_rate,treatment,post_gross_margin,post_stockout_rate
DC-0029,east,105.235397,13442.741482,0.10442858,0,13616.126779,0.08138303
DC-0030,west,93.55169,11773.730089,0.07369358,0,12879.345799,0.06995969
DC-0031,east,102.80134,13096.597378,0.06757361,0,14495.351677,0.0442158
DC-0032,south,121.399776,14787.981122,0.07591317,0,13430.134127,0.05190173
DC-0033,east,107.053555,13127.427026,0.08234302,1,13401.925221,0.05328912
DC-0034,west,108.59983,10038.989605,0.08108815,0,10974.696476,0.06312278
DC-0035,west,107.629278,13411.870748,0.07929293,0,14158.501054,0.08471014
DC-0036,west,97.92323,13579.663547,0.06484318,1,14653.302669,0.02900964
DC-0037,west,97.137871,14800.341538,0.07464895,1,14452.756899,0.04947987
DC-0038,west,133.211628,15368.679214,0.0424371,0,15834.578114,0.03593897
DC-0039,east,90.830368,13139.879811,0.07108932,1,13929.056952,0.05380396
DC-0040,south,78.099285,11119.509678,0.07453416,0,11312.629657,0.07744364
DC-0041,south,113.379044,14113.202188,0.07028006,1,14808.49056,0.04367938
DC-0042,east,117.164172,12728.053045,0.0877823,1,13819.797935,0.04541645
DC-0043,north,78.960476,12747.178969,0.06679854,1,12849.054618,0.04001094
DC-0044,east,88.576798,12058.5946,0.04564354,0,12349.896936,0.05148499
DC-0045,west,88.259868,15633.192459,0.08455546,1,15596.72275,0.03110692
DC-0046,east,95.451189,13679.502113,0.09063528,1,13773.550896,0.05488719
DC-0047,south,102.854749,12389.478391,0.07255926,0,13343.733536,0.06528206
DC-0048,west,94.396236,12745.056009,0.07441074,0,12825.76873,0.0632947
DC-0049,east,123.390134,15161.798752,0.08308841,1,14006.626967,0.02722173
DC-0050,east,95.449668,13863.354302,0.08474231,1,15050.428388,0.05088144
DC-0051,north,95.955493,13829.855772,0.04739716,1,15475.12072,0.02417759
DC-0052,south,89.279945,12183.497867,0.09563462,1,12715.280242,0.05178407
DC-0053,west,95.554836,13700.232282,0.08320812,1,13988.379012,0.04475292
DC-0054,north,91.732984,12443.609074,0.06720174,1,13367.026933,0.04852949
DC-0055,west,86.087446,13399.698657,0.07831585,0,14062.110247,0.06858635
DC-0056,south,109.101048,12934.26372,0.06675587,1,13809.055303,0.04774572
DC-0057,east,118.157121,12055.157005,0.04139752,0,13046.182044,0.04589324
DC-0058,north,106.045944,14317.349239,0.06867387,1,16795.64936,0.04464031
DC-0059,north,79.154126,11797.755186,0.08684211,1,12830.816447,0.0317467
DC-0060,east,93.305761,12555.713019,0.07340685,0,11557.967765,0.05730849
DC-0061,north,115.726383,15230.733472,0.06305437,0,15796.327975,0.07311808
DC-0062,east,105.647537,15263.631421,0.0647408,0,15529.908256,0.05820387
DC-0063,south,100.512688,11040.595576,0.0796721,0,11269.472821,0.07326492
DC-0064,west,97.053014,11747.577352,0.05589954,0,14053.501329,0.0452928
DC-0065,east,112.327299,13186.908904,0.07447708,1,14110.230362,0.01879263
DC-0066,west,93.317812,15128.704902,0.07508923,0,14424.033207,0.06901957
DC-0067,north,74.3337,10108.809128,0.06551645,1,11317.032678,0.03184742
DC-0068,south,86.792517,10738.501083,0.06798999,1,11606.904451,0.03997296
DC-0069,north,107.242757,12216.318945,0.0571774,0,12637.04262,0.05184119
DC-0070,north,116.357296,9797.686521,0.06859837,0,11302.628967,0.06705306
DC-0071,west,105.743007,13988.372382,0.08596581,0,14040.630932,0.07356698
DC-0072,west,102.898444,13098.487022,0.07053136,1,14057.421309,0.05149381
DC-0073,east,111.887105,14003.09663,0.07653686,0,14601.068906,0.06639621
DC-0074,south,122.566259,11970.88121,0.10503599,1,13618.268333,0.06768834
DC-0075,west,65.246956,12622.880952,0.04426384,1,12079.572383,0.0350663
DC-0076,west,100.310561,14586.084395,0.09692858,0,14920.701493,0.07476733
DC-0077,west,110.945808,14165.661839,0.07205831,1,12546.8533,0.02612301
DC-0078,east,62.01462,9617.951673,0.09691136,0,10522.935373,0.06957236
DC-0079,south,119.777427,14026.390351,0.08238007,1,14647.396726,0.04297382
DC-0080,south,98.406442,11789.730574,0.08547892,0,13202.394951,0.0563908
DC-0081,west,88.121265,11195.80443,0.08893352,1,11418.009944,0.05322413
DC-0082,south,91.829946,14591.474573,0.05716481,0,15350.928478,0.03874428
DC-0083,west,97.334156,11050.252506,0.09466129,1,12367.2129,0.06059677
DC-0084,west,100.358258,13644.818776,0.06199075,1,13206.707162,0.04045228
DC-0085,north,77.744499,12916.072628,0.08755373,0,13623.799883,0.06813876
DC-0086,east,92.909441,10824.849951,0.07718558,0,12411.52685,0.04723943
DC-0087,east,103.729719,13446.151707,0.06385001,1,14285.868141,0.04325483
DC-0088,south,109.431791,14278.911808,0.07945278,1,14627.654053,0.06287583
DC-0089,south,112.103823,12840.877342,0.06700565,1,14196.029498,0.0509291
DC-0090,north,107.264919,13632.137833,0.0509673,0,15293.53293,0.03983725
DC-0091,east,95.924079,10885.133855,0.10125832,0,11882.399083,0.07146314
DC-0092,west,120.852072,12800.567642,0.04853294,0,12576.157865,0.04380387
DC-0093,north,85.194378,11922.752238,0.10572473,0,10926.136872,0.08969767
DC-0094,west,112.027934,12825.57604,0.06648531,0,13091.379047,0.06512611
DC-0095,south,99.987552,13720.052235,0.04853861,0,14365.592065,0.05129268
DC-0096,south,121.038725,13460.057058,0.07545359,0,13375.873258,0.05317979
DC-0097,south,100.876235,14388.22981,0.09679313,1,15258.705798,0.03660403
DC-0098,north,119.424402,14947.002231,0.09165778,0,13840.025343,0.08526119
DC-0099,north,72.265951,13338.583588,0.06455504,0,13544.31727,0.05192453
DC-0100,west,82.651113,9606.373352,0.08125457,1,11373.797762,0.05214936
DC-0101,north,94.423148,12176.025313,0.05687859,1,12826.698076,0.03048601
DC-0102,south,89.410574,10672.404243,0.09008047,1,12891.460058,0.04489162
DC-0103,south,96.043362,13649.398003,0.06027803,0,13843.621551,0.06964907
DC-0104,north,97.042614,13081.841203,0.07906304,1,12946.786567,0.05317484
DC-0105,north,95.235287,12476.919906,0.06725161,1,13708.496846,0.03796285
DC-0106,north,81.540709,12586.088625,0.07813327,1,15559.812844,0.02230697
DC-0107,west,87.589158,12951.644391,0.0953987,1,14168.892649,0.05759559
DC-0108,west,78.70605,12476.403956,0.09831385,1,13472.422267,0.05964691
DC-0109,south,122.815486,12594.460478,0.06063714,1,13782.662452,0.04054621
DC-0110,east,106.226378,13632.527021,0.0794416,0,12802.328342,0.06900617
DC-0111,north,109.739353,16058.64406,0.06028075,1,17011.697612,0.03011715
DC-0112,north,88.369101,11806.886707,0.05464827,1,12677.841759,0.02095093
DC-0113,west,122.963385,16526.377469,0.06016917,0,17454.586705,0.06904393
DC-0114,north,108.309933,15312.999114,0.06807187,0,15846.758998,0.08127173
DC-0115,north,100.832072,12737.295003,0.09541109,1,14183.208853,0.06137099
DC-0116,east,113.048775,11203.021203,0.0716119,0,12636.197043,0.0460739
DC-0117,east,98.28068,14896.786952,0.0954242,1,15726.561859,0.05024587
DC-0118,south,112.698448,13370.001824,0.0753375,0,13819.730559,0.06277419
DC-0119,north,102.781988,12741.846523,0.07130985,0,12336.500283,0.06037378
DC-0120,west,103.296749,11439.610472,0.10232357,1,11832.688235,0.07537908
DC-0121,west,79.056631,13155.613162,0.08283544,0,13756.571506,0.08589475
DC-0122,south,98.528754,11850.480475,0.07879883,0,11884.68207,0.06598684
DC-0123,south,76.70985,12209.802866,0.09079803,0,12846.877755,0.05740802
DC-0124,west,114.932829,12816.816903,0.06666868,1,14079.615955,0.0492842
DC-0125,west,92.550064,12887.564281,0.06533307,1,14306.493185,0.01987389
DC-0126,east,97.089068,11688.194383,0.05447196,1,12628.119661,0.03334359
DC-0127,west,108.247116,12545.560144,0.08594189,0,13161.05062,0.09573178
DC-0128,west,112.867002,10958.465383,0.06046244,1,10824.894711,0.02606365
DC-0129,east,91.99957,13592.929146,0.08465441,0,14389.934602,0.07640248
DC-0130,north,104.214257,12953.690104,0.03263112,0,14896.656935,0.04679796
DC-0131,south,81.30091,10470.753336,0.07786967,0,10155.752802,0.08995665
DC-0132,north,115.050624,13605.146383,0.06590485,0,13559.156976,0.06126162
DC-0133,west,89.975432,11787.24446,0.09809293,1,12195.461741,0.0570172
DC-0134,south,102.350759,15135.199863,0.11235104,0,15021.290586,0.09163594
DC-0135,east,91.061152,13008.098942,0.08161292,1,15896.810554,0.04847961
DC-0136,north,90.999649,13185.93127,0.09045837,1,14252.246824,0.05579669
DC-0137,west,99.316321,14625.323764,0.07569986,1,15804.252617,0.03809132
DC-0138,east,90.893673,13977.248189,0.08615842,0,14173.012545,0.07916996
DC-0139,east,100.706848,13276.840105,0.06744638,1,13282.411944,0.04480311
DC-0140,south,115.165564,13511.751509,0.08624069,0,13881.018698,0.06818287
DC-0141,south,121.362355,13860.853655,0.08433268,0,13597.694511,0.07734847
DC-0142,east,107.252877,14820.964614,0.1028761,0,16080.689081,0.07359363
DC-0143,west,127.941109,13897.687306,0.08735731,1,13656.475767,0.04167761
DC-0144,south,90.868068,12950.172097,0.09455313,0,12740.92697,0.06611766
DC-0145,east,97.537204,12406.652678,0.04923082,1,12894.097017,0.01753598
DC-0146,east,55.0,9761.566637,0.07279555,0,11796.436666,0.06620237
DC-0147,south,111.504578,14011.776029,0.07259707,0,14831.222078,0.05513096
DC-0148,east,126.740014,14399.824825,0.06029365,0,13799.489668,0.06159603
DC-0149,south,93.93076,13356.501389,0.06356387,0,13689.087123,0.05583785
DC-0150,west,91.680842,10514.478604,0.0778236,1,12932.495861,0.05110137
DC-0151,west,104.623587,13237.316593,0.06345138,0,13913.441904,0.05375978
DC-0152,west,112.011397,14887.198629,0.07825908,0,15222.17314,0.07316903
DC-0153,west,72.770746,9892.979106,0.10394341,1,10046.37122,0.0460046
DC-0154,south,108.825836,13165.592916,0.06406554,0,14658.893319,0.04302411
DC-0155,south,94.460426,13702.018655,0.08778341,1,13267.566852,0.0474405
DC-0156,north,114.018419,11018.868782,0.07509652,0,12317.438688,0.06004431
DC-0157,north,115.059706,13515.864544,0.06851473,1,13544.28733,0.04183121
DC-0158,north,117.514942,14804.285228,0.05448008,0,14217.901031,0.06857155
DC-0159,east,87.754545,12345.125344,0.09414887,1,12118.826549,0.06243947
DC-0160,north,106.126332,15030.882683,0.06532364,1,15308.472441,0.02841894
DC-0161,east,118.988089,12602.54886,0.09110631,1,14516.852225,0.05736711
DC-0162,west,75.553916,13617.855695,0.08300897,1,15031.999436,0.03984265
DC-0163,west,107.205791,10976.556108,0.06951583,1,12281.760438,0.05092236
DC-0164,north,87.102457,11507.124003,0.07633551,0,12834.341868,0.07103538
DC-0165,west,118.609563,12429.308877,0.07537266,0,12060.042877,0.06229593
DC-0166,north,83.675951,14162.283366,0.06363594,0,14588.009968,0.06099296
DC-0167,south,97.360584,10937.465275,0.0822349,1,11423.969568,0.04677104
DC-0168,north,116.867562,12859.779409,0.05923038,0,13937.774922,0.04452632
DC-0169,west,104.652626,12883.858821,0.0758186,0,12280.859292,0.06016448
DC-0170,north,79.958064,11849.312338,0.09505624,0,13300.192032,0.07057325
DC-0171,west,125.803486,12434.305118,0.0685535,0,13504.10021,0.05564108
DC-0172,south,87.210025,10084.347657,0.08964199,1,12092.034508,0.05952482
DC-0173,west,105.767841,14519.848598,0.09446706,1,15155.828169,0.05551553
DC-0174,north,79.375796,10372.697419,0.08471586,1,13257.234207,0.05207844
DC-0175,west,104.264228,14609.401647,0.05389478,0,16737.916466,0.05653851
DC-0176,north,88.996482,11113.684701,0.06895645,1,11790.596515,0.05121294
DC-0177,north,105.708229,14853.10607,0.07745642,0,15627.936303,0.0653793
DC-0178,north,94.235102,12118.95258,0.08484842,1,14319.41845,0.04906833
DC-0179,south,90.382494,11235.283035,0.0715254,1,13355.702168,0.06719126
DC-0180,south,97.101149,12846.851329,0.05308765,0,13030.951321,0.03071891
DC-0181,west,103.250303,11994.072341,0.08323474,0,11862.723192,0.07230557
DC-0182,east,107.659642,13750.548088,0.08510992,0,14324.508207,0.09579417
DC-0183,north,86.987659,11744.245123,0.07305082,0,12045.327391,0.04885151
DC-0184,south,86.415853,12184.823091,0.08279466,1,12474.510328,0.05367397
DC-0185,north,90.795898,12606.449212,0.07582793,1,12980.781425,0.04205751
DC-0186,east,87.773208,13606.259804,0.09795299,0,12908.308138,0.08235822
DC-0187,north,104.462945,13572.310583,0.05828154,0,14491.158369,0.04444952
DC-0188,south,105.55712,13846.711877,0.06785514,0,14017.114932,0.06205281
DC-0189,north,86.373377,13171.48574,0.07832897,1,14526.628805,0.06874522
DC-0190,north,114.321783,12794.221644,0.07238438,0,13778.521299,0.04639427
DC-0191,west,114.892766,12825.463134,0.08690356,0,14268.908977,0.07741022
DC-0192,east,113.041827,14021.191002,0.0745103,1,15428.830954,0.0426532
DC-0193,west,111.308576,13354.152143,0.06387751,0,15127.057776,0.05551125
DC-0194,west,101.452789,14033.033535,0.08212191,1,14520.218244,0.0427657
DC-0195,east,102.881844,13137.012423,0.07447093,0,13211.033422,0.07007835
DC-0196,west,131.7411,11989.440803,0.08095218,0,12333.81435,0.04922721
DC-0197,north,133.272481,14338.57795,0.0692061,1,15654.895763,0.0421388
DC-0198,north,123.959256,11970.440808,0.07613879,1,12919.7558,0.05754666
DC-0199,north,72.305005,11719.834722,0.0921454,0,12221.333672,0.06987361
DC-0200,west,84.889077,11592.69211,0.0782202,0,12832.550653,0.05114864
DC-0201,east,82.943417,12510.056036,0.08895887,0,12826.624143,0.06302767
DC-0202,west,126.076588,14339.970599,0.05352625,0,15794.314541,0.05739214
DC-0203,south,110.250545,12462.483135,0.07395243,1,12425.899728,0.04959035
DC-0204,south,117.110504,15517.872947,0.081132,0,16612.748489,0.08930859
DC-0205,south,105.643381,11462.605824,0.0638536,1,13261.966986,0.04949679
DC-0206,south,88.866954,11758.322521,0.09060171,0,11403.828305,0.07043856
DC-0207,north,107.760476,13510.930741,0.07042723,0,14389.177823,0.05612765
DC-0208,east,88.879535,10319.464014,0.10839695,0,12000.92867,0.08210443
DC-0209,north,91.814913,11942.240429,0.07591997,1,11051.853632,0.06418931
DC-0210,north,99.277381,11901.032666,0.07315146,1,12532.164881,0.0568614
DC-0211,east,121.741375,11999.10774,0.10541738,0,13108.429996,0.09196686
DC-0212,east,115.32012,13440.989167,0.08907095,0,14040.608829,0.05285644
DC-0213,west,108.520402,13848.581323,0.08612208,1,14705.54033,0.04746292
DC-0214,south,86.170572,11946.697276,0.10042033,0,13016.933371,0.07519985
DC-0215,south,106.285998,13848.264815,0.06186321,0,13131.614588,0.03561015
DC-0216,north,113.527548,14734.168683,0.0633797,0,15452.044109,0.05687361
DC-0217,west,96.000852,12137.01808,0.07634114,1,14274.887186,0.0445122
DC-0218,south,108.168987,10263.036329,0.06880565,0,10559.269718,0.05549398
DC-0219,north,85.51676,13265.733326,0.09030734,0,12552.766829,0.06951558
DC-0220,north,120.6451,13252.179023,0.07277291,0,15180.198103,0.0592575
DC-0221,east,113.916725,13184.248705,0.09426668,1,12820.755976,0.05123751
DC-0222,west,92.883092,12782.250597,0.06906051,1,12503.882423,0.03539341
DC-0223,north,98.157305,14879.749264,0.07265216,1,16156.48262,0.05016859
DC-0224,north,127.21149,14135.121002,0.06321127,1,13582.916587,0.02580768
DC-0225,east,94.686361,14499.722899,0.10282972,0,14911.708209,0.08703969
DC-0226,north,85.228853,11639.452487,0.06966217,1,11910.165981,0.03777327
DC-0227,east,103.39326,11609.920853,0.07750243,1,11712.17811,0.04548347
DC-0228,east,109.173152,12512.664317,0.08404707,1,13024.743353,0.03987825
DC-0229,west,74.808424,10539.049583,0.08552787,0,11613.706494,0.09983134
DC-0230,south,117.691456,12655.943349,0.07127415,1,14214.510973,0.05277552
DC-0231,south,94.091968,11717.199588,0.07667064,0,11572.448958,0.06890753
DC-0232,west,96.812617,11770.027863,0.07588165,0,12157.083212,0.06384963
DC-0233,west,108.940955,11961.813013,0.04847039,0,13324.6507,0.05991684
DC-0234,west,113.811024,13143.98569,0.05618197,0,12196.212107,0.05471019
DC-0235,west,123.914273,15329.198132,0.07633956,0,16517.930466,0.06239475
DC-0236,north,91.362542,13376.094567,0.06304359,0,14686.396026,0.05699917
DC-0237,south,137.92339,13700.050308,0.0728965,0,13568.244857,0.0578907
DC-0238,south,93.74065,13842.908381,0.07543726,0,14973.735431,0.07420887
DC-0239,west,110.534921,13520.435259,0.07698375,1,13323.137703,0.04249318
DC-0240,east,82.639769,12598.823648,0.09453329,0,12361.52318,0.08886653
DC-0241,south,81.56566,12142.63075,0.08231717,0,12920.907322,0.05784023
DC-0242,south,78.277614,12504.284662,0.06818664,0,12002.5505,0.0485155
DC-0243,east,84.817244,11663.428056,0.10605429,1,12466.545099,0.05301067
DC-0244,west,92.5475,12432.13623,0.075338,1,13008.787734,0.02634618
DC-0245,west,85.110887,15602.840106,0.0714272,1,15094.645142,0.06287919
DC-0246,east,121.639928,12676.761047,0.06450995,0,13268.65793,0.05582077
DC-0247,north,112.636848,13269.414667,0.06165432,0,13241.501877,0.07638089
DC-0248,north,125.361317,16821.166936,0.06297392,1,16574.948997,0.03179282
DC-0249,north,84.442286,14364.531215,0.05953672,0,15307.280718,0.06096614
DC-0250,east,106.944127,12895.575079,0.09711495,0,13570.668002,0.08718705
DC-0251,west,124.661317,14724.877863,0.0788027,0,15213.639351,0.05317847
DC-0252,south,98.199808,12946.157592,0.09416831,1,13395.78988,0.05296693
DC-0253,west,127.709102,16358.426103,0.06784397,0,16120.920138,0.05285265
DC-0254,west,86.665899,13481.81654,0.09766368,1,14580.18353,0.0714712
DC-0255,north,96.216929,13719.403114,0.06978357,0,14257.226071,0.04545122
DC-0256,north,82.034579,12479.215153,0.07787118,0,12078.649956,0.06081468
DC-0257,north,103.042432,13112.091859,0.07031982,1,13969.0956,0.03865551
DC-0258,south,91.770688,9695.090492,0.09315811,1,10249.525035,0.07138282
DC-0259,south,113.006422,13032.032801,0.08201773,0,13251.376859,0.076066
DC-0260,north,101.272434,15429.745946,0.07075559,1,15294.949302,0.04557141
DC-0261,west,114.555945,12622.293582,0.06300242,1,12235.176839,0.03592359
DC-0262,east,112.066058,12482.170088,0.08334823,1,12674.998201,0.07969944
DC-0263,east,90.715211,13698.269415,0.07997113,0,12612.441845,0.07666806
DC-0264,south,117.666533,14121.55323,0.05733104,1,14042.219688,0.03429132
DC-0265,north,111.809505,14997.49896,0.0780201,1,15719.356441,0.04599155
DC-0266,south,130.414808,13081.405194,0.05351664,0,13124.73985,0.03741031
DC-0267,west,108.414712,11825.655926,0.05750477,1,11558.342616,0.02323091
DC-0268,north,69.912038,12276.564144,0.06431173,0,12021.795239,0.04408716
DC-0269,west,59.661551,11574.680341,0.09707993,0,12207.984371,0.07578862
DC-0270,west,112.302891,14706.101015,0.06261209,0,14209.504113,0.07329925
DC-0271,north,87.610671,14355.251385,0.08155867,0,14704.103866,0.07864324
DC-0272,south,111.356715,11429.87404,0.06713134,1,12693.003547,0.0525277
DC-0273,south,110.102159,13382.679405,0.08675619,1,14188.423509,0.04607447
DC-0274,north,116.449121,13450.510477,0.05066624,0,14762.782579,0.06357594
DC-0275,east,98.541461,14672.16544,0.09062806,1,15258.312114,0.04277912
DC-0276,east,97.961284,12777.231133,0.08885781,0,11740.958686,0.09155602
DC-0277,west,104.784562,16142.583751,0.07381221,1,15386.292792,0.04380507
DC-0278,north,101.386713,11753.46807,0.09122154,0,13623.590592,0.07302939
DC-0279,south,93.39037,13853.687763,0.0758036,0,14064.439364,0.04625019
DC-0280,north,83.726018,14367.169671,0.0991958,1,13882.322598,0.07721148
DC-0281,north,98.05016,14693.470562,0.07678874,0,16621.926962,0.06641818
DC-0282,north,87.872227,13948.945354,0.05459478,0,12714.173677,0.04097368
DC-0283,west,105.541181,11090.587615,0.09437384,1,12842.809962,0.06935124
DC-0284,west,125.69116,12797.661696,0.09223374,0,14012.597269,0.08502341
DC-0285,south,110.128273,13849.298675,0.0801491,1,13287.17791,0.05373743
DC-0286,east,94.409237,13728.326483,0.07397453,1,14800.099807,0.04771485
DC-0287,west,109.474439,13464.948595,0.08118533,1,14197.445314,0.05209243
DC-0288,south,97.061447,13983.053441,0.0724994,1,14538.578156,0.05207776
DC-0289,south,127.83092,15025.438413,0.08065928,1,16329.85993,0.05542946
DC-0290,east,108.209162,13738.670319,0.04748306,1,14763.012612,0.03824664
DC-0291,east,89.626391,13133.93726,0.07353781,1,14504.978375,0.05243539
DC-0292,east,88.727265,11983.808666,0.07908175,1,13041.159226,0.05930451
DC-0293,east,124.869569,12041.232236,0.06145915,0,12385.965461,0.04797287
DC-0294,south,91.610359,12511.308781,0.10366323,1,12496.43391,0.05841445
DC-0295,north,106.901968,13581.175505,0.061311,1,14652.387254,0.0170701
DC-0296,west,112.100766,13453.813222,0.08293941,0,12360.188324,0.0861218
DC-0297,west,101.473127,12160.451435,0.10491758,0,13306.493822,0.08040071
DC-0298,south,95.092544,10509.019278,0.08656411,0,11494.137803,0.05728863
DC-0299,north,57.137879,11410.918388,0.07872904,1,13079.557525,0.04827871
DC-0300,south,108.425383,12686.008044,0.0738204,0,13320.515545,0.05406394
DC-0301,north,106.739139,12111.961072,0.09400598,1,13188.900693,0.03434813
DC-0302,north,119.396074,14157.672121,0.08941555,1,14482.313523,0.05081694
DC-0303,south,98.55305,12797.959118,0.09162834,0,12951.884978,0.063109
DC-0304,north,111.146103,15033.103454,0.07823152,0,15850.358813,0.05514927
DC-0305,south,82.180526,15562.016026,0.06093869,0,14816.346441,0.04649934
DC-0306,east,109.876559,12942.04768,0.09880482,0,12607.397749,0.08919425
DC-0307,south,137.31376,13318.00962,0.0692036,1,15392.282048,0.02763566
DC-0308,east,85.817584,14352.583011,0.05505804,1,13245.199761,0.04776724
DC-0309,north,109.7917,13470.5381,0.09196236,1,15681.549695,0.06151398
DC-0310,south,122.099902,13517.367262,0.09326134,1,12876.088187,0.07330075
DC-0311,north,111.904833,14927.874494,0.07572782,0,14409.492664,0.07494231
DC-0312,south,95.543594,13884.79382,0.1001905,0,14401.602891,0.09348598
DC-0313,east,86.005577,13161.893617,0.08889661,1,13737.401981,0.05510565
DC-0314,north,104.857457,11156.185813,0.05920237,1,11454.543929,0.04783002
DC-0315,south,117.696998,12942.740274,0.05422372,1,12159.062689,0.03684284
DC-0316,west,108.124996,12964.988624,0.06653412,0,13215.629033,0.06376027
DC-0317,west,122.221735,12301.699115,0.07613372,0,11371.321518,0.06752624
DC-0318,west,107.972817,14897.611032,0.04590069,1,14026.257986,0.01868019
DC-0319,south,128.00929,14612.857114,0.07665549,0,13098.19303,0.06970226
DC-0320,south,118.90535,12704.557443,0.05635826,1,13318.178876,0.04210787
DC-0321,north,82.518828,13307.573264,0.10652245,0,13485.676125,0.09517611
DC-0322,east,112.611,14688.090545,0.07948415,0,15613.100803,0.07205909
DC-0323,south,76.587922,12782.121887,0.09532152,1,12301.927793,0.04305458
DC-0324,west,78.223695,11621.172859,0.07159033,0,12862.906891,0.07215156
DC-0325,north,76.578709,13657.853969,0.09567677,1,14782.817945,0.06516483
DC-0326,south,99.845419,12718.834471,0.07887444,0,13317.493186,0.07616828
DC-0327,east,113.01023,16213.327471,0.06815232,1,15751.144518,0.04755736
DC-0328,west,97.9914,13253.612381,0.07542563,0,12583.471786,0.07662198
DC-0329,west,95.2618,13023.69322,0.07403278,1,13658.162635,0.02946237
DC-0330,west,89.380794,14257.478541,0.08169075,1,13621.336517,0.06077282
DC-0331,north,90.586687,14179.188973,0.0748837,1,13918.291584,0.04308696
DC-0332,south,116.533582,13772.525759,0.09243416,0,14016.187464,0.07786998
DC-0333,west,88.088211,14293.597441,0.07567091,0,14339.385676,0.06695776
DC-0334,west,132.370076,12278.541295,0.04534998,1,14002.971325,0.03879166
DC-0335,north,97.00151,13046.603361,0.07310832,0,13782.230045,0.04785166
DC-0336,north,83.449533,13419.766506,0.07591644,1,15560.774558,0.05204502
DC-0337,south,72.039733,12549.473331,0.1038959,1,14418.468192,0.07989705
DC-0338,west,70.324161,11737.566933,0.09234584,1,12627.969163,0.05515442
DC-0339,south,122.220764,11259.660171,0.06574843,1,11095.140219,0.03539598
DC-0340,east,97.136348,13367.962288,0.05925735,1,14126.84887,0.0192477
DC-0341,east,96.19903,11915.339396,0.08127433,1,13028.32352,0.0465377
DC-0342,south,110.335862,13543.67107,0.05821707,0,14706.87577,0.05607216
DC-0343,east,89.161118,9457.613953,0.08578406,0,9999.61218,0.05788891
DC-0344,north,77.702883,12354.525037,0.09437121,1,12068.252184,0.05505919
DC-0345,south,97.203582,13981.412069,0.08888497,0,13266.927767,0.08538852
DC-0346,north,85.999925,11298.377302,0.09370983,0,13534.682175,0.08120812
DC-0347,east,100.707914,14963.810784,0.0467228,1,14159.439569,0.01572463
DC-0348,north,110.590975,13662.77258,0.09568192,1,12692.926532,0.07065332
DC-0349,east,107.210144,13940.414471,0.10764403,0,15159.25492,0.09716802
DC-0350,south,84.043007,12165.854238,0.08765596,0,12044.488161,0.04724052
DC-0351,east,113.008553,13375.470698,0.05404958,1,14544.012511,0.03671657
DC-0352,west,118.389024,13319.48953,0.07853231,1,13648.583205,0.04496882
DC-0353,south,87.219928,14402.699924,0.05209327,1,14203.612501,0.03916673
DC-0354,north,97.464802,11628.064363,0.08700226,1,14076.856895,0.06687791
DC-0355,north,90.156107,14509.37384,0.06806291,0,15199.260853,0.05341348
DC-0356,north,101.620113,13378.786291,0.08191492,0,14657.339161,0.05823543
